store_id,installHistory,subscriptionHistory
Store_5375,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-12-13 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-12-13 00:00:00.000000"",""endType"":null,""toDate"":""2023-02-24 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2023-02-24 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5405,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-07-12 01:10:17.000000"",""toDate"":""2024-08-20 00:16:06.378000"",""billingOnDate"":null}]"
Store_5386,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5399,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-22 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-07-23 00:00:00.000000"",""endType"":null,""toDate"":""2022-07-23 23:59:59.999000""}]",[]
Store_5381,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5393,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-07-05 00:00:00.000000"",""endType"":null,""toDate"":""2022-07-06 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-10-20 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2023-03-17 23:59:59.999000""}]","[{""price"":19.0,""planName"":""regular_1_discount"",""fromDate"":""2022-10-28 09:59:40.000000"",""toDate"":""2023-03-17 02:26:39.000000"",""billingOnDate"":null}]"
Store_5390,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5400,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5391,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-07-09 23:59:59.999000""}]",[]
Store_5383,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
